Время измерения;Индекс группы на момент измерения;Серийный номер;высота установки от уровня земли;средняя температура, градусы Цельсия;средняя скорость горизонтального ветра;среднее направление гор. ветра, градусы;мин. скорость мгновенного гор. ветра, м/с;макс. скорость мгновенного гор. ветра, м/с;средняя скорость верт. ветра, м/с;атмосферное давление, мм.рт.ст.;относительная влажность воздуха, %;температура точки росы, градусы Цельсия;упругость (давление) водяного пара, гПа;абсолютная влажность, г/м^3;плотность воздуха, кг/м^3;скорость звука в воздухе, в м/с
2018-01-17 01:09:00+00;1;15407AMK-03;28;-7.08;2.98;62.06;0.46;6.11;0.67;738.99;100;-7.08;3.6;2.87;1.2863;327.52
2018-01-17 01:54:00+00;1;15407AMK-03;28;-7.02;64.85;271.88;55.69;70.53;-28.35;739.16;100;33.1;50.53;42.21;1.096;354.03
2018-01-17 02:40:00+00;1;15407AMK-03;28;-5.03;63.29;272.58;4.02;70.34;-28.2;739.42;100;32.71;49.44;41.25;1.0982;353.75
2018-01-17 03:25:00+00;1;15407AMK-03;28;-3.03;64.23;272.4;54.28;69.88;-27.95;739.49;100;33.03;50.36;42.05;1.0968;353.99
2018-01-17 04:11:00+00;1;15407AMK-03;28;-2.98;61.26;271.17;5.19;69.69;-26.44;740.08;100;30.9;44.62;37.04;1.108;352.42
2018-01-17 04:56:00+00;1;15407AMK-03;28;-2.77;7.44;75.61;2.43;68.86;-0.52;740.74;100;-2.77;4.98;3.98;1.2681;330.23
2018-01-17 05:42:00+00;1;15407AMK-03;28;-4.83;4.98;82.92;2.75;8.81;-0.3;741.03;100;-4.83;4.27;3.4;1.2787;328.93
2018-01-17 06:27:00+00;1;15407AMK-03;28;-4.86;4.03;79.18;1.35;7.21;-0.4;741.39;100;-4.86;4.26;3.4;1.2795;328.91
2018-01-17 07:13:00+00;1;15407AMK-03;28;-4.87;4.09;76.28;0.1;8.74;-0.07;741.58;100;-4.87;4.26;3.39;1.2799;328.91
2018-01-17 07:58:00+00;1;15407AMK-03;28;-4.9;6.07;81.67;2.46;11.77;-0.3;741.94;100;-4.9;4.25;3.39;1.2806;328.89
2018-01-17 08:44:00+00;1;15407AMK-03;28;-5.23;4.09;68.25;1.39;10.06;0.29;742.39;100;-5.23;4.15;3.3;1.283;328.68
2018-01-17 09:29:00+00;1;15407AMK-03;28;-5.11;7.99;71.31;4.28;14.56;-0.91;742.58;100;-5.11;4.18;3.33;1.2828;328.76
2018-01-17 10:15:00+00;1;15407AMK-03;28;-5.24;4.7;70.84;2.08;8.98;0;743.3;100;-5.24;4.14;3.3;1.2847;328.67
2018-01-17 11:00:00+00;1;15407AMK-03;28;-5.37;3.99;77.9;0.78;7.42;0.2;743.6;100;-5.37;4.1;3.27;1.2858;328.59
2018-01-17 11:46:00+00;1;15407AMK-03;28;-5.58;4.52;69.07;0.58;8.85;0.72;743.89;100;-5.58;4.04;3.22;1.2874;328.46
2018-01-17 12:31:00+00;1;15407AMK-03;28;-5.95;4.45;57.14;2.3;7.02;0.4;744.12;100;-5.95;3.92;3.13;1.2896;328.23
2018-01-17 13:17:00+00;1;15407AMK-03;28;-6.13;3.75;73.41;0.32;7.24;0.44;744.37;100;-6.13;3.87;3.08;1.291;328.11
2018-01-17 14:02:00+00;1;15407AMK-03;28;-6.25;3.42;65.16;1.4;6.37;0.4;744.64;100;-6.25;3.84;3.06;1.292;328.04
2018-01-17 14:48:00+00;1;15407AMK-03;28;-6.29;4.01;64.53;1.27;7.33;0.26;744.83;100;-6.29;3.82;3.05;1.2925;328.01
2018-01-17 15:33:00+00;1;15407AMK-03;28;-6.31;3.82;78.48;1.98;5.76;-0.02;745.08;100;-6.31;3.82;3.04;1.2931;328
2018-01-17 16:19:00+00;1;15407AMK-03;28;-6.26;4.49;79.97;0.93;9.42;0.13;745.37;100;-6.26;3.83;3.05;1.2933;328.03
2018-01-17 17:04:00+00;1;15407AMK-03;28;-6.49;2.27;123.12;0.58;4;0.28;745.98;100;-6.49;3.76;3;1.2956;327.88
2018-01-17 17:50:00+00;1;15407AMK-03;28;-8.19;4.92;173.28;1.89;11.04;-0.46;746.5;100;-8.19;3.3;2.63;1.305;326.81
2018-01-17 18:35:00+00;1;15407AMK-03;28;-9.46;2.5;139.37;0.39;4.98;-0.28;747.39;100;-9.46;2.99;2.38;1.313;326.02
2018-01-17 19:21:00+00;1;15407AMK-03;28;-10.14;3.28;165.84;1.55;5.18;-0.09;748.41;100;-10.14;2.83;2.26;1.3183;325.58
2018-01-17 20:06:00+00;1;15407AMK-03;28;-10.82;3.81;139.42;1.53;7.57;-0.85;748.86;90.6;-12.06;2.43;1.94;1.3228;325.14
2018-01-17 20:52:00+00;1;15407AMK-03;28;-11.63;1.97;157.59;0.6;2.95;-0.07;749.37;100;-11.63;2.52;2;1.3278;324.64
2018-01-17 21:37:00+00;1;15407AMK-03;28;-12.58;2.67;196.7;0.97;5.13;-0.29;749.94;100;-12.58;2.33;1.86;1.3337;324.05
2018-01-17 22:23:00+00;1;15407AMK-03;28;-13.28;2.45;202.09;0.89;4.55;0.25;750.4;95.64;-13.83;2.11;1.68;1.3382;323.6
2018-01-17 23:08:00+00;1;15407AMK-03;28;-14.89;3.09;209.53;1.23;5.52;-0.27;751.24;91.66;-15.94;1.77;1.41;1.3483;322.58
2018-01-17 23:54:00+00;1;15407AMK-03;28;-15.64;2.16;218.21;0.72;3.8;-0.07;751.79;78.23;-18.57;1.42;1.13;1.3534;322.09
2018-01-18 00:39:00+00;1;15407AMK-03;28;-16.15;1.08;222.51;0.58;1.74;0.12;752.23;95.3;-16.73;1.66;1.32;1.3567;321.78
2018-01-18 01:24:00+00;1;15407AMK-03;28;-17.06;1.67;226.5;0.56;2.66;-0.05;752.62;92.43;-17.99;1.49;1.19;1.3623;321.21
2018-01-18 02:10:00+00;1;15407AMK-03;28;-19.2;1.47;222.28;0.52;2.71;-0.06;752.98;82.63;-21.41;1.11;0.88;1.3747;319.84
2018-01-18 02:55:00+00;1;15407AMK-03;28;-19.81;1.49;232.34;0.64;2.59;-0.08;753.09;93.57;-20.59;1.2;0.95;1.3782;319.46
2018-01-18 03:41:00+00;1;15407AMK-03;28;-20.08;1.67;229.6;0.97;2.85;0.06;753.43;92.5;-20.98;1.15;0.92;1.3803;319.29
2018-01-18 04:26:00+00;1;15407AMK-03;28;-20.08;0.74;261.82;0.21;1.17;-0.2;753.82;91.02;-21.17;1.14;0.9;1.381;319.29
2018-01-18 05:12:00+00;1;15407AMK-03;28;-20.15;1.34;231.09;0.78;2.02;-0.16;754.07;87.47;-21.69;1.09;0.86;1.3819;319.24
2018-01-18 05:57:00+00;1;15407AMK-03;28;-19.36;0.87;199.95;0.58;1.21;0.02;754.2;74.17;-22.8;0.99;0.78;1.3779;319.73
2018-01-18 06:43:00+00;1;15407AMK-03;28;-18.46;0.72;265.49;0.32;1.18;-0.5;754.37;65.82;-23.28;0.94;0.75;1.3733;320.3
2018-01-18 07:28:00+00;1;15407AMK-03;28;-17.76;0.96;266.26;0.05;1.81;-0.46;754.73;50.7;-25.53;0.77;0.61;1.3703;320.73
2018-01-18 08:14:00+00;1;15407AMK-03;28;-17.68;0.77;217.75;0.48;1.06;0.07;755.07;68.87;-22.01;1.06;0.84;1.3703;320.79
2018-01-18 08:59:00+00;1;15407AMK-03;28;-17.54;0.61;247.6;0.28;1.32;-0.1;755.16;71.17;-21.51;1.1;0.88;1.3697;320.88
2018-01-18 09:45:00+00;1;15407AMK-03;28;-17.81;1.13;209.48;0.41;2.06;0.01;755.32;75.09;-21.15;1.14;0.9;1.3714;320.72
2018-01-18 10:30:00+00;1;15407AMK-03;28;-18.41;1.14;242.99;0.49;1.92;-0.09;755.56;74.19;-21.87;1.07;0.85;1.3752;320.33
2018-01-18 11:16:00+00;1;15407AMK-03;28;-18.6;1.03;232.42;0.44;2.03;-0.07;755.78;75.95;-21.79;1.08;0.86;1.3766;320.22
2018-01-18 12:01:00+00;1;15407AMK-03;28;-18.43;1.13;218.55;0.38;2;-0.07;755.86;82.23;-20.71;1.18;0.94;1.3757;320.33
2018-01-18 12:47:00+00;1;15407AMK-03;28;-18.75;1.81;228.08;0.65;2.72;0;756.12;81.5;-21.13;1.14;0.91;1.378;320.12
2018-01-18 13:32:00+00;1;15407AMK-03;28;-18.91;1.42;234.71;0.41;2.51;-0.24;756.18;84.24;-20.9;1.16;0.92;1.3789;320.03
2018-01-18 14:18:00+00;1;15407AMK-03;28;-18.95;1.75;238.6;1.15;2.6;-0.24;756.3;87.81;-20.46;1.21;0.96;1.3794;320
2018-01-18 15:03:00+00;1;15407AMK-03;28;-18.97;0.6;258.46;0.05;0.99;-0.3;756.4;89.55;-20.26;1.23;0.98;1.3796;319.99
2018-01-18 15:49:00+00;1;15407AMK-03;28;-18.99;0.81;217.45;0.39;1.3;0.02;756.43;94.67;-19.63;1.3;1.03;1.3797;319.98
2018-01-18 16:34:00+00;1;15407AMK-03;28;-20.01;0.94;191.89;0.19;1.75;-0.12;756.42;99.91;-20.02;1.26;1;1.3853;319.34
2018-01-18 17:20:00+00;1;15407AMK-03;28;-20.85;1.12;251.87;0.35;2.01;-0.1;756.69;100;-20.85;1.17;0.93;1.3905;318.8
2018-01-18 18:05:00+00;1;15407AMK-03;28;-21.28;0.79;212.65;0.31;1.09;-0.05;756.72;100;-21.28;1.13;0.89;1.3929;318.53
2018-01-18 18:51:00+00;1;15407AMK-03;28;-21.93;1.51;217.57;1.16;1.8;-0.1;756.86;100;-21.93;1.06;0.84;1.3968;318.11
2018-01-18 19:36:00+00;1;15407AMK-03;28;-22.96;0.95;225.01;0.64;1.17;-0.07;756.99;100;-22.96;0.97;0.77;1.4029;317.46
2018-01-18 20:22:00+00;1;15407AMK-03;28;-24.27;1.78;244.71;0.9;2.41;-0.15;757.16;100;-24.27;0.86;0.69;1.4106;316.62
2018-01-18 21:07:00+00;1;15407AMK-03;28;-25.77;1.24;261.03;0.36;2.4;-0.07;757.22;100;-25.77;0.76;0.6;1.4194;315.66
2018-01-18 21:53:00+00;1;15407AMK-03;28;-26.68;1.34;257;0.44;2.66;-0.15;757.15;100;-26.68;0.7;0.55;1.4245;315.08
2018-01-18 22:38:00+00;1;15407AMK-03;28;-26.64;0.81;264.87;0.53;1.11;-0.15;757.2;100;-26.64;0.7;0.55;1.4244;315.1
2018-01-18 23:24:00+00;1;15407AMK-03;28;-27.23;1.62;248.21;0.89;2.46;-0.12;757.29;100;-27.23;0.66;0.52;1.428;314.72
2018-01-19 00:09:00+00;1;15407AMK-03;28;-27.17;1.67;238.94;0.95;2.5;-0.02;757.36;100;-27.17;0.66;0.53;1.4278;314.76
2018-01-19 00:55:00+00;1;15407AMK-03;28;-27.71;0.66;265.48;0.35;1.16;-0.13;757.89;100;-27.71;0.63;0.5;1.4319;314.41
2018-01-19 01:40:00+00;1;15407AMK-03;28;-28.54;1.24;253.9;1.03;1.44;-0.11;757.75;100;-28.54;0.59;0.46;1.4366;313.88
2018-01-19 02:26:00+00;1;15407AMK-03;28;-29.32;0.6;270;0.36;0.87;-0.12;758.17;100;-29.32;0.54;0.43;1.442;313.37
2018-01-19 03:11:00+00;1;15407AMK-03;28;-30.02;0.92;266.07;0.55;1.59;-0.08;758.27;100;-30.02;0.51;0.4;1.4463;312.92
2018-01-19 03:57:00+00;1;15407AMK-03;28;-28.22;0.99;276.8;0.44;1.59;-0.36;758.39;94.26;-28.86;0.57;0.45;1.4359;314.08
2018-01-19 04:42:00+00;1;15407AMK-03;28;-27.8;0.81;243.97;0.62;1.05;-0.16;758.53;87.72;-29.2;0.55;0.44;1.4337;314.35
2018-01-19 05:27:00+00;1;15407AMK-03;28;-27.36;1.07;232.91;0.35;1.84;0.09;758.83;71.08;-31.01;0.46;0.37;1.4318;314.62
2018-01-19 06:13:00+00;1;15407AMK-03;28;-26.19;0.97;112.73;0.58;1.29;-0.25;759.05;54.24;-32.7;0.39;0.31;1.4254;315.37
2018-01-19 06:58:00+00;1;15407AMK-03;28;-25.32;1.13;104.98;0.5;1.78;-0.46;759.46;58.02;-31.18;0.46;0.36;1.4212;315.93
2018-01-19 07:44:00+00;1;15407AMK-03;28;-25.25;1.19;138.22;0.81;1.67;-0.31;759.5;64.62;-29.98;0.51;0.41;1.4208;315.98
2018-01-19 08:29:00+00;1;15407AMK-03;28;-24.46;1.1;171.98;0.62;1.67;-0.09;759.89;60.27;-29.97;0.51;0.41;1.417;316.48
2018-01-19 09:15:00+00;1;15407AMK-03;28;-24.45;2.02;157.26;1.32;2.83;-0.18;760.33;66.11;-28.97;0.56;0.45;1.4177;316.49
2018-01-19 10:00:00+00;1;15407AMK-03;28;-25.56;1.15;159.35;0.48;1.71;-0.08;760.45;90.8;-26.62;0.7;0.55;1.4243;315.79
2018-01-19 10:46:00+00;1;15407AMK-03;28;-25.41;1.37;185.2;0.74;2.08;-0.17;760.94;100;-25.41;0.78;0.62;1.4243;315.89
2018-01-19 11:31:00+00;1;15407AMK-03;28;-26.28;2.01;201.09;1.11;3.52;-0.01;761.12;98;-26.5;0.71;0.56;1.4297;315.33
2018-01-19 12:17:00+00;1;15407AMK-03;28;-26.9;2.23;225.48;1.18;3.57;0.01;761.19;99.13;-27;0.67;0.54;1.4334;314.93
2018-01-19 13:02:00+00;1;15407AMK-03;28;-27.89;1.55;240.94;0.66;2.56;0.2;761.73;99.25;-27.97;0.62;0.49;1.4403;314.3
2018-01-19 13:48:00+00;1;15407AMK-03;28;-28.47;2.01;240.6;1.03;4.16;0.28;761.83;100;-28.47;0.59;0.47;1.4439;313.92
2018-01-19 14:33:00+00;1;15407AMK-03;28;-29.06;2.49;237.84;0.79;4.49;-0.09;761.89;99;-29.17;0.55;0.44;1.4475;313.54
2018-01-19 15:19:00+00;1;15407AMK-03;28;-29.8;1.51;239.43;0.58;3.16;0.04;762.34;98.99;-29.91;0.51;0.41;1.4528;313.06
2018-01-19 16:04:00+00;1;15407AMK-03;28;-30.71;1.35;258.18;0.62;2.55;-0.13;762.95;99.81;-30.73;0.48;0.38;1.4594;312.48
2018-01-19 16:50:00+00;1;15407AMK-03;28;-31.27;2.19;252.7;0.84;4.27;-0.08;762.86;100;-31.27;0.45;0.36;1.4627;312.11
2018-01-19 17:35:00+00;1;15407AMK-03;28;-31.82;1.62;248.9;0.35;3.96;-0.14;763.21;100;-31.82;0.43;0.34;1.4667;311.76
2018-01-19 18:21:00+00;1;15407AMK-03;28;-32.48;2.31;249.79;0.62;5.03;-0.09;763.13;100;-32.48;0.4;0.32;1.4706;311.33
2018-01-19 19:06:00+00;1;15407AMK-03;28;-33.27;2.76;245.45;1.12;4.93;-0.07;763.13;100;-33.27;0.37;0.3;1.4754;310.82
2018-01-19 19:52:00+00;1;15407AMK-03;28;-33.82;2.32;250.72;1.16;4.13;-0.12;763.42;100;-33.82;0.35;0.28;1.4794;310.46
2018-01-19 20:37:00+00;1;15407AMK-03;28;-34.2;2.24;255.3;0.71;4.07;-0.06;763.65;100;-34.2;0.34;0.27;1.4822;310.21
2018-01-19 21:23:00+00;1;15407AMK-03;28;-34.97;1.7;252.75;0.23;3.5;0.02;763.65;100;-34.97;0.32;0.25;1.487;309.71
2018-01-19 22:08:00+00;1;15407AMK-03;28;-35.43;1.12;260.67;0.14;2.85;0.13;764.02;100;-35.43;0.3;0.24;1.4906;309.41
2018-01-19 22:54:00+00;1;15407AMK-03;28;-35.8;1.46;250.4;0.63;2.9;-0.26;764.39;100;-35.8;0.29;0.23;1.4937;309.17
2018-01-19 23:39:00+00;1;15407AMK-03;28;-36.32;1.67;245.9;0.19;4.48;-0.12;764.39;100;-36.32;0.28;0.22;1.497;308.83
2018-01-20 00:25:00+00;1;15407AMK-03;28;-36.8;2.46;252.19;0.67;4.92;0.14;764.84;100;-36.8;0.26;0.21;1.5008;308.52
2018-01-20 01:10:00+00;1;15407AMK-03;28;-37.28;1.6;260.42;0.65;3.31;0.13;765.1;100;-37.28;0.25;0.2;1.5044;308.2
2018-01-20 01:56:00+00;1;15407AMK-03;28;-37.69;1.36;261.57;0.28;3.43;-0.05;765.43;100;-37.69;0.24;0.19;1.5077;307.93
2018-01-20 02:41:00+00;1;15407AMK-03;28;-38.16;1.41;263.76;0.58;3.03;0.01;765.59;100;-38.16;0.23;0.18;1.511;307.63
2018-01-20 03:27:00+00;1;15407AMK-03;28;-38.04;2.75;258.77;0.81;6.63;-0.02;765.33;97.45;-38.29;0.23;0.18;1.5098;307.71
2018-01-20 04:12:00+00;1;15407AMK-03;28;-37.51;2.06;248.9;0.59;3.87;-0.02;765.53;82.29;-39.41;0.2;0.16;1.5068;308.05
2018-01-20 04:58:00+00;1;15407AMK-03;28;-36.36;1.26;252.09;0.49;3.04;0.12;765.63;84.16;-38.07;0.23;0.18;1.4997;308.8
2018-01-20 05:43:00+00;1;15407AMK-03;28;-35.45;0.8;248.95;0.03;1.37;0.08;765.54;65.26;-39.66;0.2;0.16;1.4938;309.39
2018-01-20 06:29:00+00;1;15407AMK-03;28;-34.01;0.96;234.9;0.26;1.7;0.23;765.77;59.2;-39.22;0.21;0.16;1.4852;310.33
2018-01-20 07:14:00+00;1;15407AMK-03;28;-33.53;2.24;220.55;0.68;3.66;0.05;765.84;60.66;-38.53;0.22;0.18;1.4824;310.64
2018-01-20 08:00:00+00;1;15407AMK-03;28;-32.91;2.21;228.57;0.61;3.83;-0.22;765.81;61.21;-37.85;0.24;0.19;1.4784;311.05
2018-01-20 08:45:00+00;1;15407AMK-03;28;-32.64;3.33;227.37;1.18;5.56;-0.04;766.06;66.65;-36.75;0.26;0.21;1.4773;311.22
