Время измерения;Индекс группы на момент измерения;Серийный номер;высота установки от уровня земли;средняя температура, градусы Цельсия;средняя скорость горизонтального ветра;среднее направление гор. ветра, градусы;мин. скорость мгновенного гор. ветра, м/с;макс. скорость мгновенного гор. ветра, м/с;средняя скорость верт. ветра, м/с;атмосферное давление, мм.рт.ст.;относительная влажность воздуха, %;температура точки росы, градусы Цельсия;упругость (давление) водяного пара, гПа;абсолютная влажность, г/м^3;плотность воздуха, кг/м^3;скорость звука в воздухе, в м/с
2018-01-04 06:07:00+00;1;15407AMK-03;28;-21.84;0.77;195.84;0.25;1.53;-0.05;760.09;65.66;-26.54;0.7;0.56;1.4025;318.15
2018-01-04 06:52:00+00;1;15407AMK-03;28;-21.29;0.74;212.81;0.31;1.17;-0.23;759.98;57.32;-27.5;0.64;0.51;1.3993;318.5
2018-01-04 07:38:00+00;1;15407AMK-03;28;-20.06;0.65;204.14;0.24;1.07;-0.29;759.95;53.56;-27.08;0.67;0.53;1.3924;319.27
2018-01-04 08:23:00+00;1;15407AMK-03;28;-20;1.28;138.36;0.92;1.6;-0.03;759.94;56.44;-26.45;0.71;0.56;1.392;319.32
2018-01-04 09:09:00+00;1;15407AMK-03;28;-19.78;0.7;112.47;0.52;0.91;-0.05;760.01;80.17;-22.32;1.03;0.82;1.3908;319.47
2018-01-04 09:54:00+00;1;15407AMK-03;28;-20.19;1.41;117.85;1.16;1.58;0.04;760.09;95.99;-20.66;1.19;0.94;1.3931;319.22
2018-01-04 10:40:00+00;1;15407AMK-03;28;-20.86;1.69;114.86;0.93;2.31;0.01;760.27;100;-20.86;1.17;0.93;1.3971;318.79
2018-01-04 11:25:00+00;1;15407AMK-03;28;-20.96;1.6;117.82;1.2;1.93;-0.02;760.29;100;-20.96;1.16;0.92;1.3977;318.73
2018-01-04 12:11:00+00;1;15407AMK-03;28;-21.48;1.95;120.51;1.16;2.54;-0.01;760.13;100;-21.48;1.11;0.88;1.4003;318.4
2018-01-04 12:56:00+00;1;15407AMK-03;28;-21.45;1.3;129.5;0.88;1.81;0.08;759.91;100;-21.45;1.11;0.88;1.3998;318.42
